policy,seed,epsilon,success_rate,mean_return,episodes
tabular_q,0,0.0,1.0,1.0,35
tabular_q,0,0.2,1.0,1.0,35
stay,0,,0.42857142857142855,-0.14285714285714285,35
random,0,,0.42857142857142855,-0.14285714285714285,35
tabular_q,1,0.0,1.0,1.0,35
tabular_q,1,0.2,1.0,1.0,35
stay,1,,0.42857142857142855,-0.14285714285714285,35
random,1,,0.42857142857142855,-0.14285714285714285,35
tabular_q,2,0.0,1.0,1.0,35
tabular_q,2,0.2,1.0,1.0,35
stay,2,,0.42857142857142855,-0.14285714285714285,35
random,2,,0.42857142857142855,-0.14285714285714285,35
tabular_q,3,0.0,1.0,1.0,35
tabular_q,3,0.2,1.0,1.0,35
stay,3,,0.42857142857142855,-0.14285714285714285,35
random,3,,0.4,-0.2,35
tabular_q,4,0.0,1.0,1.0,35
tabular_q,4,0.2,1.0,1.0,35
stay,4,,0.42857142857142855,-0.14285714285714285,35
random,4,,0.5142857142857142,0.02857142857142857,35
